,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
777,2020/2021,Leicester City,Tottenham,1-1,1-3,2-4,"8,000",15:00,1,1,1,3,2,4,2,4,6,Away
778,2020/2021,Newcastle,West Ham,2-0,1-2,3-2,Unknown,11:30,2,0,1,2,3,2,2,3,5,Home
779,2020/2021,Man Utd,Liverpool,1-2,1-2,2-4,Unknown,19:15,1,2,1,2,2,4,3,3,6,Away
780,2020/2021,Southampton,Man Utd,2-0,0-3,2-3,Unknown,14:00,2,0,0,3,2,3,2,3,5,Away
781,2020/2021,Crystal Palace,Aston Villa,1-2,2-0,3-2,Unknown,11:00,1,2,2,0,3,2,3,2,5,Home
782,2020/2021,Man Utd,Everton,2-0,1-3,3-3,Unknown,20:00,2,0,1,3,3,3,2,4,6,Draw
783,2020/2021,Leeds Utd,Newcastle,1-1,4-1,5-2,Unknown,18:00,1,1,4,1,5,2,2,5,7,Home
784,2020/2021,Liverpool,Leeds Utd,3-2,1-1,4-3,Unknown,16:30,3,2,1,1,4,3,5,2,7,Home
785,2020/2021,Leeds Utd,Fulham,2-1,2-2,4-3,Unknown,14:00,2,1,2,2,4,3,3,4,7,Home
786,2020/2021,Chelsea,Southampton,2-1,1-2,3-3,Unknown,14:00,2,1,1,2,3,3,3,3,6,Draw
787,2020/2021,Aston Villa,West Brom,1-1,1-1,2-2,Unknown,18:00,1,1,1,1,2,2,2,2,4,Draw
788,2020/2021,Leicester City,Newcastle,0-2,2-2,2-4,Unknown,19:00,0,2,2,2,2,4,2,4,6,Away
789,2020/2021,West Ham,Arsenal,3-1,0-2,3-3,Unknown,15:00,3,1,0,2,3,3,4,2,6,Draw
790,2020/2021,Chelsea,West Brom,1-2,1-3,2-5,Unknown,11:30,1,2,1,3,2,5,3,4,7,Away
791,2020/2021,Brighton,Man Utd,1-1,1-2,2-3,Unknown,11:30,1,1,1,2,2,3,2,3,5,Away
792,2020/2021,Tottenham,West Ham,3-0,0-3,3-3,Unknown,15:30,3,0,0,3,3,3,3,3,6,Draw
793,2020/2021,Newcastle,Man City,2-2,1-2,3-4,Unknown,19:00,2,2,1,2,3,4,4,3,7,Away
794,2020/2021,Aston Villa,Southampton,0-3,3-1,3-4,Unknown,12:00,0,3,3,1,3,4,3,4,7,Away
795,2020/2021,West Brom,Chelsea,3-0,0-3,3-3,Unknown,16:30,3,0,0,3,3,3,3,3,6,Draw
796,2020/2021,Leeds Utd,West Brom,2-0,1-1,3-1,"8,000",15:00,2,0,1,1,3,1,2,2,4,Home
797,2020/2021,West Ham,Southampton,2-0,1-0,3-0,"10,000",15:00,2,0,1,0,3,0,2,1,3,Home
798,2020/2021,Leicester City,Tottenham,1-1,1-3,2-4,"8,000",15:00,1,1,1,3,2,4,2,4,6,Away
799,2020/2021,Sheffield Utd,Burnley,1-0,0-0,1-0,"5,000",15:00,1,0,0,0,1,0,1,0,1,Home
800,2020/2021,Arsenal,Brighton,0-0,2-0,2-0,"10,000",15:00,0,0,2,0,2,0,0,2,2,Home
801,2020/2021,Man City,Everton,2-0,3-0,5-0,"10,000",15:00,2,0,3,0,5,0,2,3,5,Home
802,2020/2021,Liverpool,Crystal Palace,1-0,1-0,2-0,"9,901",15:00,1,0,1,0,2,0,1,1,2,Home
803,2020/2021,Aston Villa,Chelsea,1-0,1-1,2-1,"10,000",15:00,1,0,1,1,2,1,1,2,3,Home
804,2020/2021,Fulham,Newcastle,0-1,0-1,0-2,"2,000",15:00,0,1,0,1,0,2,1,1,2,Away
805,2020/2021,Wolves,Man Utd,1-2,0-0,1-2,"4,500",15:00,1,2,0,0,1,2,3,0,3,Away
806,2020/2021,Burnley,Liverpool,0-1,0-2,0-3,"3,387",19:15,0,1,0,2,0,3,1,2,3,Away
807,2020/2021,West Brom,West Ham,1-1,0-2,1-3,"5,371",19:15,1,1,0,2,1,3,2,2,4,Away
808,2020/2021,Crystal Palace,Arsenal,0-1,1-2,1-3,"6,500",18:00,0,1,1,2,1,3,1,3,4,Away
809,2020/2021,Everton,Wolves,0-0,1-0,1-0,"4,988",17:00,0,0,1,0,1,0,0,1,1,Home
