,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
837,2020/2021,Beşiktaş,Fenerbahçe,0-0,1-1,1-1,Unknown,16:00,0,0,1,1,1,1,0,2,2,Draw
838,2020/2021,Denizlispor,Başakşehir,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
839,2020/2021,Konyaspor,Alanyaspor,1-0,0-0,1-0,Unknown,10:30,1,0,0,0,1,0,1,0,1,Home
840,2020/2021,Antalyaspor,Erzurumspor,0-1,3-0,3-1,Unknown,10:30,0,1,3,0,3,1,1,3,4,Home
841,2020/2021,Trabzonspor,Ankaragücü,3-1,1-0,4-1,Unknown,16:00,3,1,1,0,4,1,4,1,5,Home
842,2020/2021,Malatyaspor,Gaziantep,1-1,1-1,2-2,Unknown,13:00,1,1,1,1,2,2,2,2,4,Draw
843,Göztepe - Sivasspor,Göztepe,Sivasspor,0-4,3-1,3-5,Unknown,13:00,0,4,3,1,3,5,4,4,8,Away
844,Gençlerbirliği - Kasımpaşa,Gençlerbirliği,Kasımpaşa,0-0,2-1,2-1,Unknown,10:30,0,0,2,1,2,1,0,3,3,Home
845,2020/2021,Karagümrük,Kayserispor,1-0,2-0,3-0,Unknown,13:00,1,0,2,0,3,0,1,2,3,Home
846,2020/2021,Kasımpaşa,Konyaspor,0-0,1-1,1-1,Unknown,16:00,0,0,1,1,1,1,0,2,2,Draw
847,2020/2021,Fenerbahçe,Gençlerbirliği,1-1,0-1,1-2,Unknown,16:00,1,1,0,1,1,2,2,1,3,Away
848,2020/2021,Galatasaray,Rizespor,2-2,1-2,3-4,Unknown,16:00,2,2,1,2,3,4,4,3,7,Away
849,2020/2021,Erzurumspor,Trabzonspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
850,2020/2021,Gaziantep,Denizlispor,0-0,2-0,2-0,Unknown,13:00,0,0,2,0,2,0,0,2,2,Home
851,Ankaragücü - Göztepe,Ankaragücü,Göztepe,1-0,2-0,3-0,Unknown,10:30,1,0,2,0,3,0,1,2,3,Home
852,2020/2021,Alanyaspor,Antalyaspor,2-0,2-0,4-0,Unknown,13:00,2,0,2,0,4,0,2,2,4,Home
853,2020/2021,Kayserispor,Galatasaray,0-1,0-2,0-3,Unknown,16:00,0,1,0,2,0,3,1,2,3,Away
854,2020/2021,Rizespor,Hatayspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
855,Sivasspor - Karagümrük,Sivasspor,Karagümrük,1-0,0-0,1-0,Unknown,10:30,1,0,0,0,1,0,1,0,1,Home
856,2020/2021,Başakşehir,Beşiktaş,0-1,2-2,2-3,Unknown,16:00,0,1,2,2,2,3,1,4,5,Away
857,2020/2021,Konyaspor,Fenerbahçe,0-2,0-1,0-3,Unknown,16:00,0,2,0,1,0,3,2,1,3,Away
858,Göztepe - Erzurumspor,Göztepe,Erzurumspor,1-0,2-1,3-1,Unknown,16:00,1,0,2,1,3,1,1,3,4,Home
859,2020/2021,Trabzonspor,Alanyaspor,0-0,1-3,1-3,Unknown,13:00,0,0,1,3,1,3,0,4,4,Away
860,2020/2021,Antalyaspor,Kasımpaşa,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
861,2020/2021,Hatayspor,Kayserispor,0-2,1-1,1-3,Unknown,13:00,0,2,1,1,1,3,2,2,4,Away
