,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
869,2020/2021,Nantes,Nice,1-2,0-0,1-2,Unknown,13:00,1,2,0,0,1,2,3,0,3,Away
870,2020/2021,Bordeaux,Strasbourg,2-3,0-0,2-3,Unknown,13:00,2,3,0,0,2,3,5,0,5,Away
871,2020/2021,Reims,Rennais,0-0,2-2,2-2,Unknown,13:00,0,0,2,2,2,2,0,4,4,Draw
872,2020/2021,Angers,Montpellier,0-0,1-1,1-1,Unknown,11:00,0,0,1,1,1,1,0,2,2,Draw
873,2020/2021,Lens,Lyon,0-0,1-1,1-1,Unknown,19:00,0,0,1,1,1,1,0,2,2,Draw
874,2020/2021,PSG,Lille,0-1,0-0,0-1,Unknown,15:00,0,1,0,0,0,1,1,0,1,Away
875,2020/2021,Monaco,Metz,0-0,4-0,4-0,Unknown,11:00,0,0,4,0,4,0,0,4,4,Home
876,2020/2021,Lyon,PSG,0-2,2-2,2-4,Unknown,20:00,0,2,2,2,2,4,2,4,6,Away
877,2020/2021,Lille,Nimes,1-2,0-0,1-2,Unknown,16:05,1,2,0,0,1,2,3,0,3,Away
878,2020/2021,Montpellier,Bordeaux,1-1,2-0,3-1,Unknown,14:00,1,1,2,0,3,1,2,2,4,Home
879,2020/2021,Dijon,Reims,0-0,0-1,0-1,Unknown,14:00,0,0,0,1,0,1,0,1,1,Away
880,2020/2021,Nantes,Lorient,1-0,0-1,1-1,Unknown,14:00,1,0,0,1,1,1,1,1,2,Draw
881,2020/2021,Brest,Angers,0-0,0-0,0-0,Unknown,14:00,0,0,0,0,0,0,0,0,0,Draw
882,2020/2021,Strasbourg,Lens,1-2,0-0,1-2,Unknown,12:00,1,2,0,0,1,2,3,0,3,Away
883,2020/2021,Nice,Marseille,1-0,2-0,3-0,Unknown,16:00,1,0,2,0,3,0,1,2,3,Home
884,2020/2021,Metz,Rennais,0-2,1-1,1-3,Unknown,12:00,0,2,1,1,1,3,2,2,4,Away
885,2020/2021,Saint-Étienne,Monaco,0-1,0-3,0-4,Unknown,20:00,0,1,0,3,0,4,1,3,4,Away
886,2020/2021,Lens,Metz,2-1,0-1,2-2,Unknown,14:00,2,1,0,1,2,2,3,1,4,Draw
887,2020/2021,PSG,Nantes,1-0,0-2,1-2,Unknown,20:00,1,0,0,2,1,2,1,2,3,Away
888,2020/2021,Monaco,Lille,0-0,0-0,0-0,Unknown,16:05,0,0,0,0,0,0,0,0,0,Draw
889,2020/2021,Dijon,Bordeaux,0-2,1-1,1-3,Unknown,14:00,0,2,1,1,1,3,2,2,4,Away
890,2020/2021,Lorient,Nice,0-0,1-1,1-1,Unknown,14:00,0,0,1,1,1,1,0,2,2,Draw
891,2020/2021,Rennais,Strasbourg,1-0,0-0,1-0,Unknown,14:00,1,0,0,0,1,0,1,0,1,Home
892,2020/2021,Nimes,Montpellier,0-0,1-1,1-1,Unknown,12:00,0,0,1,1,1,1,0,2,2,Draw
893,2020/2021,Marseille,Brest,1-0,2-1,3-1,Unknown,16:00,1,0,2,1,3,1,1,3,4,Home
894,2020/2021,Angers,Saint-Étienne,0-0,0-1,0-1,Unknown,12:00,0,0,0,1,0,1,0,1,1,Away
895,2020/2021,Strasbourg,Monaco,0-0,1-0,1-0,Unknown,20:00,0,0,1,0,1,0,0,1,1,Home
896,2020/2021,Nantes,Reims,1-1,0-1,1-2,Unknown,20:00,1,1,0,1,1,2,2,1,3,Away
897,2020/2021,Bordeaux,PSG,0-1,0-0,0-1,Unknown,20:00,0,1,0,0,0,1,1,0,1,Away
898,2020/2021,Reims,Lyon,1-0,0-1,1-1,Unknown,20:00,1,0,0,1,1,1,1,1,2,Draw
899,2020/2021,Lille,Marseille,0-0,2-0,2-0,Unknown,20:00,0,0,2,0,2,0,0,2,2,Home
900,2020/2021,Montpellier,Lorient,1-1,0-0,1-1,Unknown,20:00,1,1,0,0,1,1,2,0,2,Draw
901,2020/2021,Metz,Angers,0-1,0-0,0-1,Unknown,18:00,0,1,0,0,0,1,1,0,1,Away
902,2020/2021,Saint-Étienne,Lens,1-2,1-1,2-3,Unknown,18:00,1,2,1,1,2,3,3,2,5,Away
903,2020/2021,Lyon,Rennais,0-0,1-0,1-0,Unknown,18:00,0,0,1,0,1,0,0,1,1,Home
904,2020/2021,Brest,Dijon,3-1,0-0,3-1,Unknown,18:00,3,1,0,0,3,1,4,0,4,Home
905,2020/2021,Nice,Nimes,1-0,1-1,2-1,Unknown,18:00,1,0,1,1,2,1,1,2,3,Home
906,2020/2021,Marseille,Lyon,1-1,0-0,1-1,Unknown,20:00,1,1,0,0,1,1,2,0,2,Draw
907,2020/2021,Lille,Strasbourg,0-1,1-0,1-1,Unknown,16:00,0,1,1,0,1,1,1,1,2,Draw
908,2020/2021,Nimes,Nantes,0-1,1-0,1-1,Unknown,14:00,0,1,1,0,1,1,1,1,2,Draw
909,2020/2021,Angers,Lens,2-1,0-1,2-2,Unknown,14:00,2,1,0,1,2,2,3,1,4,Draw
910,2020/2021,Reims,Montpellier,0-0,0-0,0-0,Unknown,14:00,0,0,0,0,0,0,0,0,0,Draw
911,2020/2021,Monaco,Brest,0-0,2-0,2-0,Unknown,12:00,0,0,2,0,2,0,0,2,2,Home
912,2020/2021,Dijon,PSG,0-2,0-2,0-4,Unknown,16:00,0,2,0,2,0,4,2,2,4,Away
913,2020/2021,Lorient,Saint-Étienne,0-1,2-0,2-1,Unknown,14:00,0,1,2,0,2,1,1,2,3,Home
914,2020/2021,Bordeaux,Metz,1-0,0-2,1-2,Unknown,12:00,1,0,0,2,1,2,1,2,3,Away
915,2020/2021,Rennais,Nice,1-1,0-1,1-2,Unknown,20:00,1,1,0,1,1,2,2,1,3,Away
916,2020/2021,PSG,Monaco,0-1,0-1,0-2,Unknown,20:00,0,1,0,1,0,2,1,1,2,Away
917,2020/2021,Lorient,Lille,1-2,0-2,1-4,Unknown,16:00,1,2,0,2,1,4,3,2,5,Away
